name,phone,email,address,postalZip,list,country
Peter Summers,1-745-589-7311,augue.porttitor@google.org,Ap #280-934 Eleifend Ave,5604,9,Saint Barthélemy
Yolanda Mays,(362) 646-5616,maecenas.malesuada.fringilla@yahoo.com,Ap #220-7694 Maecenas Road,4625,19,Mauritius
Portia Sellers,(291) 849-7257,integer.vulputate@outlook.net,928-8084 Lobortis St.,62156,3,Uganda
Raja Whitley,1-616-992-2274,non.sollicitudin@outlook.com,Ap #504-2311 Donec Street,M7W 7H7,5,Falkland Islands
Phillip Perez,1-333-668-8666,ligula.donec@protonmail.net,9739 Ut Road,2146,11,Barbados
Connor Roberts,1-124-541-3378,lectus.rutrum@icloud.net,Ap #309-935 Lobortis. Street,7465,13,Canada
Garth Herrera,(709) 224-4487,nulla@google.org,279-1002 Mollis Road,8768,19,Somalia
Bertha Sheppard,(751) 258-9778,vel.nisl@yahoo.net,1776 Cras Rd.,23697,19,Kiribati
Alden Hammond,1-397-478-5508,ornare.tortor@yahoo.edu,"P.O. Box 424, 3843 Egestas. Rd.",12T 8E4,13,Bahamas
Lydia Matthews,(141) 584-7987,et.euismod@icloud.ca,Ap #759-7761 Commodo Av.,X12 6EI,3,Western Sahara
Ruby Ball,(110) 477-9016,vitae.sodales@aol.ca,895-2426 Porttitor Street,93145,19,Mongolia
Ralph Zamora,1-636-997-2707,enim.mauris.quis@yahoo.couk,"9262 Vestibulum, Rd.",5161,17,Armenia
Unity Brown,(340) 766-3545,duis@icloud.org,886-3611 Neque Avenue,88131-31203,15,Serbia
Alfreda Holman,1-587-252-8543,nunc.ac.sem@hotmail.net,"Ap #893-4753 Ornare, St.",8456,17,Greenland
Solomon Douglas,1-876-607-2256,eros.proin@aol.com,"P.O. Box 348, 4819 Suspendisse St.",881212,1,Sweden
Clare Waters,(535) 580-3418,augue.malesuada@outlook.edu,Ap #902-2165 Eu St.,A40 9ZD,7,Cocos (Keeling) Islands
Laith Wagner,(478) 821-3738,elementum.dui@google.couk,"811-7789 Ornare, Street",8059,5,Colombia
Salvador Durham,1-741-404-9327,ac@aol.couk,635-1750 Eleifend Road,60206,3,Zimbabwe
Ian Mack,1-130-133-7194,natoque.penatibus@icloud.edu,711-4838 Litora Road,662215,19,Bahamas
Hakeem Cobb,1-520-878-5675,lorem.ipsum@aol.ca,"P.O. Box 929, 163 Sem. Rd.",86200,5,Niue
Francis Townsend,1-504-785-1002,vitae.sodales.at@aol.ca,Ap #489-8389 Erat Road,580746,3,Antigua and Barbuda
Dolan Frye,1-253-548-5652,ac.risus@google.ca,"P.O. Box 850, 7927 Montes, St.",52633,11,Algeria
Shad Brooks,1-444-541-8487,ultrices.iaculis@google.com,"P.O. Box 885, 1394 Ut, St.",83762,9,South Sudan
Lysandra Rollins,1-852-454-4953,quis.urna@google.edu,"P.O. Box 398, 2738 Eu Road",88454,17,Gibraltar
Troy Aguilar,(226) 582-2354,gravida.sagittis@outlook.ca,742-1906 A St.,372817,9,"Korea, North"
Kirby Levy,1-504-471-7085,vulputate.mauris@yahoo.ca,Ap #633-6357 Augue Road,6309,7,United Arab Emirates
Nora Allison,1-665-477-4178,in.faucibus.orci@hotmail.org,432-7122 Eu Avenue,529270,19,Gambia
Vivian O'donnell,(545) 485-5421,eu@yahoo.com,Ap #379-2350 Quisque Rd.,13256,7,Heard Island and Mcdonald Islands
Portia Gentry,(658) 443-8791,donec@yahoo.org,Ap #841-6696 Consectetuer Avenue,176828,1,Macao
